"","Left_Right_Wing","BirthYear","Income","Religiousity","Education","Country","Location","Gender","Occupation","Marital_Status","Age"
"4108",5,1996,1,4,2,"Austria",1,1,722,4,20
"4285",6,1962,5,2,6,"Austria",1,1,332,3,54
"4130",5,1985,2,3,7,"Austria",3,1,252,4,31
"4698",5,1980,5,3,4,"Austria",1,1,611,4,36
"3976",3,1988,4,3,7,"Austria",2,2,226,4,28
"4264",7,1962,2,3,4,"Austria",1,2,522,4,54
"4652",5,1957,3,4,8,"Austria",1,1,235,3,59
"4010",1,1986,5,1,4,"Austria",1,2,541,4,30
"4375",3,1962,2,4,4,"Austria",2,2,322,3,54
"4064",4,1955,5,1,8,"Austria",3,1,112,1,61
"4011",3,1970,2,2,8,"Austria",3,1,265,4,46
"4579",7,1963,5,3,4,"Austria",3,2,112,1,53
"4712",5,1955,3,2,4,"Austria",2,2,411,1,61
"4907",3,1959,5,2,6,"Austria",1,2,226,1,57
"4480",5,1966,5,3,5,"Austria",1,1,541,1,50
"3997",2,1956,5,1,8,"Austria",2,2,263,4,60
"4196",4,1959,4,3,5,"Austria",1,2,233,1,57
"4122",0,1941,2,1,8,"Austria",1,2,524,1,75
"4890",5,1965,3,3,5,"Austria",1,1,524,1,51
"4856",5,1989,2,3,4,"Austria",1,1,722,1,27
"4904",5,1967,4,3,4,"Austria",4,2,242,1,49
"4609",5,1983,3,3,3,"Austria",2,1,311,4,33
"4591",5,1956,1,3,4,"Austria",1,1,524,1,60
"4227",5,1986,5,3,4,"Austria",1,1,541,1,30
"4539",6,1971,3,3,4,"Austria",2,1,252,4,45
"4411",8,1965,5,1,8,"Austria",1,1,134,1,51
"4491",0,1961,2,1,4,"Austria",2,1,833,1,55
"3958",8,1972,2,2,4,"Austria",2,1,334,4,44
"4260",6,1963,4,2,5,"Austria",2,1,251,1,53
"4062",8,1958,5,3,5,"Austria",3,2,243,1,58
"4183",5,1958,2,2,4,"Austria",3,2,522,2,58
"4905",4,1981,2,1,4,"Austria",4,1,332,4,35
"4160",5,1995,2,2,3,"Austria",3,1,512,4,21
"4000",5,1961,4,4,4,"Austria",2,2,411,1,55
"4084",2,1989,5,2,8,"Austria",2,2,341,4,27
"4432",5,1961,2,1,9,"Austria",2,1,241,4,55
"4197",5,1952,3,3,2,"Austria",3,1,541,1,64
"4528",5,1979,2,3,4,"Austria",1,2,522,3,37
"4783",5,1976,5,2,4,"Austria",1,1,422,1,40
"4211",7,1967,5,4,8,"Austria",1,1,233,3,49
"4696",6,1965,4,3,8,"Austria",1,2,833,1,51
"4638",2,1964,1,1,4,"Austria",1,2,411,4,52
"4772",5,1959,3,3,4,"Austria",1,2,411,1,57
"4023",2,1983,2,2,8,"Austria",4,2,325,1,33
"4006",2,1961,4,2,3,"Austria",1,1,731,1,55
"4377",5,1979,5,2,5,"Austria",3,2,134,1,37
"4143",2,1970,2,2,5,"Austria",3,1,411,4,46
"4728",5,1984,3,3,3,"Austria",1,1,314,4,32
"4131",2,1994,4,3,4,"Austria",1,2,411,1,22
"4842",3,1969,2,3,4,"Austria",2,1,242,2,47
"4749",6,1985,4,2,8,"Austria",2,1,134,1,31
"3992",4,1983,3,2,4,"Austria",3,2,523,4,33
"4212",8,1970,3,3,8,"Austria",3,2,264,3,46
"4246",6,1982,5,3,4,"Austria",1,1,611,4,34
"4320",4,1962,4,2,4,"Austria",1,1,532,1,54
"4689",5,1974,1,4,4,"Austria",2,2,611,1,42
"4221",1,1986,2,3,4,"Austria",3,2,411,4,30
"4774",5,1964,5,3,8,"Austria",3,1,265,1,52
"4216",5,1969,2,3,4,"Austria",2,1,731,1,47
"4925",5,1963,3,3,4,"Austria",1,2,512,1,53
"4575",5,1959,2,1,4,"Austria",1,1,731,1,57
"4306",4,1972,2,3,5,"Austria",1,2,411,3,44
"4164",5,1975,3,2,8,"Austria",3,1,233,3,41
"4914",6,1964,2,3,4,"Austria",2,2,513,1,52
"4791",2,1956,4,3,6,"Austria",2,2,222,1,60
"4912",6,1978,2,3,8,"Austria",1,2,334,4,38
"4910",5,1973,1,3,3,"Austria",1,2,142,1,43
"4644",7,1962,4,3,5,"Austria",2,2,234,1,54
"4906",5,1983,3,3,3,"Austria",3,1,411,4,33
"4005",4,1983,2,3,8,"Austria",1,2,226,4,33
"4243",7,1991,3,3,3,"Austria",1,1,933,4,25
"4574",5,1967,4,2,8,"Austria",1,2,112,1,49
"4267",5,1974,3,3,5,"Austria",2,1,143,1,42
"4153",3,1970,5,1,4,"Austria",3,1,515,1,46
"4809",5,1970,4,3,5,"Austria",3,2,421,1,46
"4109",5,1983,4,3,4,"Austria",4,1,432,1,33
"4868",3,1966,3,2,7,"Austria",1,2,532,1,50
"4035",5,1962,2,3,8,"Austria",4,2,235,4,54
"4667",4,1994,4,4,4,"Austria",1,1,441,1,22
"4565",5,1984,3,2,3,"Austria",1,1,512,1,32
"4693",4,1983,3,3,5,"Austria",2,1,741,1,33
"3986",5,1963,1,2,4,"Austria",2,2,911,1,53
"4002",5,1973,4,3,5,"Austria",1,1,541,1,43
"4326",7,1966,3,3,4,"Austria",1,1,713,1,50
"4600",6,1966,4,3,5,"Austria",1,2,243,4,50
"4478",5,1969,5,3,9,"Austria",2,1,741,1,47
"4295",6,1969,3,3,4,"Austria",1,1,722,1,47
"4921",4,1976,2,2,4,"Austria",3,1,821,4,40
"4786",3,1984,1,3,4,"Austria",1,2,522,4,32
"4280",5,1957,2,3,4,"Austria",1,1,821,1,59
"4397",2,1970,5,2,8,"Austria",1,2,235,1,46
"4365",5,1978,3,2,6,"Austria",1,1,11,1,38
"4511",6,1960,4,3,4,"Austria",1,2,911,1,56
"4150",4,1969,5,4,4,"Austria",3,2,411,1,47
"4073",3,1975,4,3,8,"Austria",1,2,421,1,41
"4133",4,1991,1,2,7,"Austria",3,2,522,4,25
"3959",5,1961,5,2,4,"Austria",1,1,814,1,55
"4798",4,1959,5,2,8,"Austria",4,2,112,1,57
"4692",3,1967,5,3,3,"Austria",1,2,524,1,49
"4788",6,1985,4,3,4,"Austria",3,1,713,4,31
"4687",5,1960,4,2,4,"Austria",2,2,512,1,56
"4708",1,1985,1,1,8,"Austria",3,1,334,4,31
"4883",4,1983,3,3,3,"Austria",4,2,411,1,33
"4829",0,1981,2,2,4,"Austria",1,1,411,4,35
"4366",5,1962,5,3,5,"Austria",2,1,311,1,54
"4725",5,1981,1,3,4,"Austria",3,1,523,4,35
"4112",5,1981,2,2,3,"Austria",2,1,713,4,35
"4685",5,1967,4,1,8,"Austria",4,2,411,3,49
"3987",10,1975,3,3,4,"Austria",1,2,531,1,41
"4861",3,1970,4,1,5,"Austria",1,2,342,1,46
"4185",5,1980,3,2,3,"Austria",1,1,721,4,36
"4017",7,1963,2,2,4,"Austria",4,2,421,4,53
"4525",3,1984,3,3,3,"Austria",1,1,818,3,32
"4470",6,1951,2,4,3,"Austria",1,1,732,3,65
"4597",5,1988,2,2,4,"Austria",2,1,522,4,28
"4077",5,1958,5,3,8,"Austria",1,2,112,1,58
"4659",3,1964,5,3,6,"Austria",1,1,411,1,52
"4096",7,1992,1,2,5,"Austria",4,2,411,1,24
"4521",5,1963,3,2,4,"Austria",1,1,751,1,53
"4884",3,1983,2,1,8,"Austria",4,1,265,4,33
"4256",5,1971,4,3,5,"Austria",2,2,235,1,45
"4012",2,1961,5,1,4,"Austria",2,1,243,1,55
"4764",1,1957,4,1,8,"Austria",3,2,325,3,59
"4494",5,1964,4,2,4,"Austria",2,2,523,1,52
"4192",3,1962,3,2,8,"Austria",4,1,325,1,54
"4003",2,1991,3,3,7,"Austria",4,2,522,1,25
"4595",5,1984,5,4,4,"Austria",1,1,513,1,32
"4768",6,1981,1,3,3,"Austria",1,2,265,1,35
"4718",3,1969,5,1,5,"Austria",1,1,818,1,47
"4180",2,1956,3,3,4,"Austria",3,2,411,1,60
"4800",7,1986,2,3,4,"Austria",1,1,322,4,30
"4142",4,1984,4,3,5,"Austria",1,1,242,1,32
"4899",3,1980,3,3,4,"Austria",1,1,241,4,36
"4417",3,1967,5,3,6,"Austria",3,2,235,1,49
"4269",0,1961,3,3,4,"Austria",1,1,522,1,55
"4040",5,1966,5,2,8,"Austria",4,1,112,1,50
"4204",8,1985,1,4,4,"Austria",2,2,524,4,31
"4018",3,1965,5,4,8,"Austria",2,1,213,1,51
"4156",3,1969,5,3,4,"Austria",1,1,532,1,47
"4113",3,1956,4,1,3,"Austria",3,2,512,1,60
"4450",7,1981,3,3,4,"Austria",2,1,814,1,35
"4880",7,1975,3,3,4,"Austria",2,1,752,4,41
"4717",4,1984,3,3,3,"Austria",1,2,411,1,32
"4277",5,1966,3,3,4,"Austria",1,1,933,1,50
"4342",3,1971,4,3,5,"Austria",1,2,334,1,45
"4915",5,1975,5,3,9,"Austria",1,2,221,1,41
"4379",5,1977,5,3,5,"Austria",1,2,235,1,39
"4447",5,1988,2,2,4,"Austria",2,1,741,4,28
"4327",4,1962,4,4,4,"Austria",1,2,532,1,54
"4720",2,1969,5,1,4,"Austria",1,2,513,1,47
"4060",6,1989,2,2,4,"Austria",2,1,752,4,27
"4364",6,1989,4,3,4,"Austria",4,1,332,1,27
"42991",5,1977,5,1,8,"Austria",1,1,216,1,39
"5025",7,1963,4,2,4,"Sweden",4,2,120,1,53
"45211",5,1963,3,2,4,"Austria",1,1,751,1,53
"5105",7,1970,3,1,7,"Sweden",4,1,210,4,46
"5153",3,1945,4,2,2,"Sweden",3,2,510,1,71
"3990",5,1961,1,3,4,"Austria",2,1,711,1,55
"47081",1,1985,1,1,8,"Austria",3,1,334,4,31
"5219",6,1971,4,1,6,"Sweden",4,1,210,1,45
"47281",5,1984,3,3,3,"Austria",1,1,314,4,32
"45911",5,1956,1,3,4,"Austria",1,1,524,1,60
"5158",7,1969,1,1,5,"Sweden",1,2,230,1,47
"45811",1,1971,3,3,4,"Austria",1,1,552,1,45
"48991",3,1980,3,3,4,"Austria",1,1,241,4,36
"47611",3,1972,4,2,8,"Austria",4,2,233,1,44
"40401",5,1966,5,2,8,"Austria",4,1,112,1,50
"5099",8,1940,2,3,4,"Sweden",1,2,510,1,76
"42211",1,1986,2,3,4,"Austria",3,2,411,4,30
"39861",5,1963,1,2,4,"Austria",2,2,911,1,53
"43561",0,1975,2,3,4,"Austria",1,2,412,3,41
"5139",5,1956,3,2,3,"Sweden",3,1,240,1,60
"5078",0,1984,1,3,7,"Sweden",4,2,220,4,32
"5201",6,1972,4,2,5,"Sweden",3,2,410,1,44
"4841",2,1968,4,1,8,"Austria",4,2,235,1,48
"5174",7,1982,4,1,4,"Sweden",2,1,310,1,34
"4860",5,1995,1,4,2,"Austria",1,1,741,4,21
"49101",5,1973,1,3,3,"Austria",1,2,142,1,43
"46931",4,1983,3,3,5,"Austria",2,1,741,1,33
"4762",4,1977,2,2,4,"Austria",1,2,931,4,39
"42771",5,1966,3,3,4,"Austria",1,1,933,1,50
"40991",5,1964,5,3,4,"Austria",1,2,141,1,52
"5125",7,1944,5,1,3,"Sweden",4,1,210,1,72
"5074",5,1954,2,4,6,"Sweden",2,2,330,4,62
"4882",5,1982,2,3,4,"Austria",4,1,241,4,34
"4983",8,1947,4,3,4,"Sweden",4,2,410,1,69
"3972",5,1962,5,3,8,"Austria",4,1,333,1,54
"45791",7,1963,5,3,4,"Austria",3,2,112,1,53
"49441",5,1990,2,3,4,"Austria",1,1,834,4,26
"41731",0,1962,3,3,4,"Austria",2,1,311,1,54
"43061",4,1972,2,3,5,"Austria",1,2,411,3,44
"41851",5,1980,3,2,3,"Austria",1,1,721,4,36
"40841",2,1989,5,2,8,"Austria",2,2,341,4,27
"4477",7,1956,5,4,4,"Austria",3,1,112,1,60
"4474",5,1994,5,3,4,"Austria",2,2,412,4,22
"43771",5,1979,5,2,5,"Austria",3,2,134,1,37
"4106",5,1967,3,3,4,"Austria",1,1,722,1,49
"40731",3,1975,4,3,8,"Austria",1,2,421,1,41
"4184",5,1969,4,4,8,"Austria",1,1,264,1,47
"4536",5,1979,3,3,4,"Austria",2,1,522,1,37
"5193",3,1951,3,3,4,"Sweden",4,1,510,1,65
"5009",3,1983,2,2,8,"Sweden",4,2,230,1,33
"5192",8,1967,2,1,4,"Sweden",4,1,830,1,49
"44911",0,1961,2,1,4,"Austria",2,1,833,1,55
"4954",5,1940,5,2,5,"Sweden",1,2,340,1,76
"4049",4,1962,4,3,4,"Austria",1,2,325,1,54
"4672",5,1988,4,3,8,"Austria",1,2,261,1,28
"41531",3,1970,5,1,4,"Austria",3,1,515,1,46
"4052",5,1966,3,3,5,"Austria",2,2,315,1,50
"5185",6,1968,4,2,4,"Sweden",2,2,410,1,48
"5024",3,1974,5,2,4,"Sweden",1,2,310,1,42
"43661",5,1962,5,3,5,"Austria",2,1,311,1,54
"47851",7,1987,2,3,4,"Austria",2,2,532,4,29
"40181",3,1965,5,4,8,"Austria",2,1,213,1,51
"43751",3,1962,2,4,4,"Austria",2,2,322,3,54
"5121",9,1975,5,2,4,"Sweden",3,2,120,1,41
"49461",6,1995,3,3,4,"Austria",1,1,441,4,21
"44801",5,1966,5,3,5,"Austria",1,1,541,1,50
"4934",4,1957,5,3,4,"Austria",2,1,541,1,59
"5082",3,1960,5,2,9,"Sweden",3,1,210,1,56
"49141",6,1964,2,3,4,"Austria",2,2,513,1,52
"4472",2,1970,4,3,4,"Austria",1,2,241,1,46
"48801",7,1975,3,3,4,"Austria",2,1,752,4,41
"47201",2,1969,5,1,4,"Austria",1,2,513,1,47
"4822",4,1955,3,3,9,"Austria",3,1,231,1,61
"39581",8,1972,2,2,4,"Austria",2,1,334,4,44
"4502",0,1965,4,2,6,"Austria",1,2,222,1,51
"4154",5,1988,4,3,4,"Austria",4,2,325,4,28
"4358",4,1966,5,3,4,"Austria",1,1,223,1,50
"46921",3,1967,5,3,3,"Austria",1,2,524,1,49
"5141",4,1953,4,2,4,"Sweden",4,2,510,1,63
"40231",2,1983,2,2,8,"Austria",4,2,325,1,33
"4174",4,1954,3,3,5,"Austria",1,1,411,3,62
"4746",7,1974,2,2,5,"Austria",2,1,513,4,42
"4402",3,1969,4,3,8,"Austria",4,1,216,1,47
"48841",3,1983,2,1,8,"Austria",4,1,265,4,33
"40191",5,1984,5,3,5,"Austria",1,2,411,4,32
"44191",5,1973,3,3,4,"Austria",1,1,314,1,43
"5041",7,1944,4,2,3,"Sweden",3,2,340,1,72
"4970",6,1965,4,1,6,"Sweden",4,2,340,4,51
"4966",5,1971,4,2,4,"Sweden",4,1,310,1,45
"41081",5,1996,1,4,2,"Austria",1,1,722,4,20
"4046",5,1957,3,4,4,"Austria",1,1,541,1,59
"4714",5,1958,5,3,3,"Austria",3,2,333,1,58
"4278",2,1982,1,2,8,"Austria",4,1,235,4,34
"5050",8,1978,3,2,7,"Sweden",1,2,340,1,38
"42501",4,1970,3,3,8,"Austria",2,2,222,1,46
"41131",3,1956,4,1,3,"Austria",3,2,512,1,60
"48571",7,1970,2,2,3,"Austria",2,1,723,4,46
"40111",3,1970,2,2,8,"Austria",3,1,265,4,46
"44541",0,1975,3,3,7,"Austria",2,2,226,1,41
"4507",4,1959,3,3,6,"Austria",2,2,513,3,57
"46441",7,1962,4,3,5,"Austria",2,2,234,1,54
"42561",5,1971,4,3,5,"Austria",2,2,235,1,45
"44781",5,1969,5,3,9,"Austria",2,1,741,1,47
"4985",1,1957,1,2,4,"Sweden",2,2,510,4,59
"5186",7,1937,2,3,6,"Sweden",4,2,320,1,79
"4929",5,1980,1,3,4,"Austria",3,1,522,4,36
"4950",5,1983,2,4,5,"Austria",3,2,241,1,33
"4643",5,1965,3,4,5,"Austria",1,2,412,1,51
"5190",9,1947,5,2,3,"Sweden",3,1,340,1,69
"5209",2,1981,1,1,4,"Sweden",4,2,520,4,35
"4960",1,1948,4,2,7,"Sweden",1,1,230,1,68
"42111",7,1967,5,4,8,"Austria",1,1,233,3,49
"39921",4,1983,3,2,4,"Austria",3,2,523,4,33
"4965",1,1938,1,1,6,"Sweden",3,2,230,4,78
"4733",3,1981,3,3,4,"Austria",3,2,243,4,35
"4047",4,1989,4,2,8,"Austria",4,1,214,4,27
"4526",4,1985,4,3,2,"Austria",1,1,621,4,31
"5004",7,1961,4,1,6,"Sweden",3,2,320,1,55
"45741",5,1967,4,2,8,"Austria",1,2,112,1,49
"43271",4,1962,4,4,4,"Austria",1,2,532,1,54
"46531",4,1965,4,3,4,"Austria",2,2,524,1,51
"4217",9,1964,5,3,8,"Austria",3,2,241,1,52
"42081",3,1973,3,4,6,"Austria",2,2,235,1,43
"41301",5,1985,2,3,7,"Austria",3,1,252,4,31
"42691",0,1961,3,3,4,"Austria",1,1,522,1,55
"5046",7,1970,4,2,4,"Sweden",1,1,310,1,46
"5006",2,1951,3,1,8,"Sweden",4,1,240,4,65
"40051",4,1983,2,3,8,"Austria",1,2,226,4,33
"4041",4,1952,5,2,8,"Austria",3,1,242,1,64
"4683",0,1973,1,1,4,"Austria",2,2,412,4,43
"4586",6,1970,2,3,4,"Austria",2,1,818,4,46
"4878",4,1988,3,2,4,"Austria",1,1,721,4,28
"4654",8,1987,2,2,4,"Austria",2,1,721,4,29
"5039",6,1965,4,1,8,"Sweden",3,1,210,1,51
"44701",6,1951,2,4,3,"Austria",1,1,732,3,65
"5010",4,1985,1,1,6,"Sweden",4,2,410,1,31
"47861",3,1984,1,3,4,"Austria",1,2,522,4,32
"4759",5,1956,4,3,4,"Austria",1,1,821,1,60
"5014",5,1935,2,2,4,"Sweden",2,1,910,1,81
"4335",4,1969,3,3,5,"Austria",2,2,234,1,47
"41921",3,1962,3,2,8,"Austria",4,1,325,1,54
"42951",6,1969,3,3,4,"Austria",1,1,722,1,47
"3964",2,1962,5,3,9,"Austria",1,1,233,1,54
"40771",5,1958,5,3,8,"Austria",1,2,112,1,58
"5013",3,1944,2,1,6,"Sweden",2,1,240,4,72
"4128",5,1958,3,2,4,"Austria",1,2,222,2,58
"41331",4,1991,1,2,7,"Austria",3,2,522,4,25
"3996",5,1961,5,3,4,"Austria",1,1,332,1,55
"41351",5,1988,3,3,4,"Austria",3,2,721,1,28
"4676",3,1966,2,2,4,"Austria",1,1,441,4,50
"4781",5,1996,2,2,3,"Austria",2,1,721,4,20
"5133",9,1939,3,4,7,"Sweden",4,2,230,1,77
"42601",6,1963,4,2,5,"Austria",2,1,251,1,53
"49211",4,1976,2,2,4,"Austria",3,1,821,4,40
"5029",7,1963,3,1,4,"Sweden",3,1,520,1,53
"5023",3,1945,4,2,4,"Sweden",2,1,710,1,71
"5022",7,1949,3,2,3,"Sweden",1,1,720,1,67
"41091",5,1983,4,3,4,"Austria",4,1,432,1,33
"4311",6,1965,5,3,8,"Austria",2,1,235,1,51
"5104",7,1986,1,1,6,"Sweden",4,1,510,1,30
"4368",2,1972,5,1,6,"Austria",2,1,112,4,44
"42121",8,1970,3,3,8,"Austria",3,2,264,3,46
"45431",5,1974,4,3,6,"Austria",1,2,412,1,42
"4224",9,1954,1,3,4,"Austria",2,2,511,4,62
"5003",8,1964,5,1,7,"Sweden",3,2,340,1,52
"5061",9,1932,2,1,8,"Sweden",4,2,240,4,84
"4648",5,1991,2,3,4,"Austria",1,1,834,4,25
"5045",3,1956,3,2,3,"Sweden",2,1,810,1,60
"42641",7,1962,2,3,4,"Austria",1,2,522,4,54
"4136",4,1995,2,2,4,"Austria",2,1,723,4,21
"5073",9,1945,4,2,4,"Sweden",3,1,230,1,71
"4053",5,1960,2,3,4,"Austria",1,2,516,1,56
"5000",8,1964,5,2,3,"Sweden",2,1,130,1,52
"4951",3,1956,2,1,6,"Austria",4,1,252,3,60
"45281",5,1979,2,3,4,"Austria",1,2,522,3,37
"5083",3,1975,1,2,4,"Sweden",4,2,510,1,41
"4889",5,1969,5,3,8,"Austria",4,1,112,1,47
"48901",5,1965,3,3,5,"Austria",1,1,524,1,51
"47251",5,1981,1,3,4,"Austria",3,1,523,4,35
"44321",5,1961,2,1,9,"Austria",2,1,241,4,55
"5172",5,1952,3,1,6,"Sweden",2,1,320,1,64
"41601",5,1995,2,2,3,"Austria",3,1,512,4,21
"45641",6,1959,4,3,8,"Austria",4,1,111,1,57
"4976",7,1987,3,2,4,"Sweden",4,2,720,1,29
"4434",5,1994,2,2,4,"Austria",1,1,741,4,22
"4305",3,1964,5,2,5,"Austria",2,1,134,1,52
"49251",5,1963,3,3,4,"Austria",1,2,512,1,53
"43791",5,1977,5,3,5,"Austria",1,2,235,1,39
"48681",3,1966,3,2,7,"Austria",1,2,532,1,50
"4722",1,1985,3,3,3,"Austria",1,1,821,1,31
"41311",2,1994,4,3,4,"Austria",1,2,411,1,22
"41581",5,1970,2,2,4,"Austria",4,1,752,4,46
"5098",3,1991,5,1,5,"Sweden",4,1,230,4,25
"44471",5,1988,2,2,4,"Austria",2,1,741,4,28
"4741",7,1990,5,2,4,"Austria",2,2,516,4,26
"4975",5,1953,4,2,4,"Sweden",1,2,510,1,63
"5150",1,1942,1,1,2,"Sweden",4,1,410,4,74
"49041",5,1967,4,3,4,"Austria",4,2,242,1,49
"46851",5,1967,4,1,8,"Austria",4,2,411,3,49
"5640",8,1952,2,1,4,"Sweden",4,2,240,1,64
"49541",5,1940,5,2,5,"Sweden",1,2,340,1,76
"8925",5,1959,3,2,8,"Bulgaria",3,2,430,1,57
"8974",6,1972,5,3,4,"Bulgaria",3,2,750,1,44
"4014",4,1935,3,1,6,"Austria",4,2,234,3,81
"5138",5,1987,1,1,7,"Sweden",4,2,410,1,29
"8930",7,1992,2,3,4,"Bulgaria",2,1,960,4,24
"5182",8,1946,1,3,3,"Sweden",3,1,340,4,70
"50251",7,1963,4,2,4,"Sweden",4,2,120,1,53
"8981",0,1956,3,3,4,"Bulgaria",3,2,810,3,60
"50221",7,1949,3,2,3,"Sweden",1,1,720,1,67
"5422",0,1946,1,1,4,"Sweden",1,1,610,4,70
"5208",8,1948,2,2,2,"Sweden",1,1,520,1,68
"41431",2,1970,2,2,5,"Austria",3,1,411,4,46
"8929",5,1970,4,4,8,"Bulgaria",3,1,340,1,46
"45361",5,1979,3,3,4,"Austria",2,1,522,1,37
"40101",1,1986,5,1,4,"Austria",1,2,541,4,30
"47621",4,1977,2,2,4,"Austria",1,2,931,4,39
"8970",6,1947,2,3,4,"Bulgaria",3,2,430,2,69
"5775",4,1956,3,2,8,"Sweden",2,1,230,1,60
"5435",7,1980,4,1,8,"Sweden",2,2,240,1,36
"5352",7,1962,3,1,4,"Sweden",4,2,340,4,54
"9047",10,1984,4,3,8,"Bulgaria",2,1,820,4,32
"5374",8,1935,2,1,4,"Sweden",2,1,710,1,81
"5464",4,1951,4,2,4,"Sweden",3,1,120,1,65
"51411",4,1953,4,2,4,"Sweden",4,2,510,1,63
"5236",4,1947,1,2,3,"Sweden",1,1,820,1,69
"4660",7,1955,4,3,4,"Austria",3,2,322,1,61
"42271",5,1986,5,3,4,"Austria",1,1,541,1,30
"8966",0,1952,3,3,4,"Bulgaria",2,2,440,1,64
"5776",5,1961,4,2,4,"Sweden",2,2,910,1,55
"5414",5,1938,3,3,3,"Sweden",1,1,120,1,78
"5592",7,1974,5,1,7,"Sweden",2,2,320,1,42
"39871",10,1975,3,3,4,"Austria",1,2,531,1,41
"5037",7,1948,3,2,6,"Sweden",1,2,320,1,68
"5528",4,1951,5,2,6,"Sweden",2,1,240,1,65
"44341",5,1994,2,2,4,"Austria",1,1,741,4,22
"4715",5,1982,4,2,5,"Austria",3,2,524,1,34
"44802",5,1966,5,3,5,"Austria",1,1,541,1,50
"42171",9,1964,5,3,8,"Austria",3,2,241,1,52
"49212",4,1976,2,2,4,"Austria",3,1,821,4,40
"4917",5,1965,2,3,6,"Austria",2,2,265,3,51
"48331",5,1980,2,2,3,"Austria",2,1,723,4,36
"42431",7,1991,3,3,3,"Austria",1,1,933,4,25
"42082",3,1973,3,4,6,"Austria",2,2,235,1,43
"44791",3,1965,3,1,8,"Austria",2,1,216,4,51
"50061",2,1951,3,1,8,"Sweden",4,1,240,4,65
"45742",5,1967,4,2,8,"Austria",1,2,112,1,49
"5684",5,1969,4,2,6,"Sweden",1,2,230,1,47
"40112",3,1970,2,2,8,"Austria",3,1,265,4,46
"4967",1,1961,4,2,4,"Sweden",3,1,410,1,55
"5561",3,1962,5,2,4,"Sweden",3,2,410,1,54
"41732",0,1962,3,3,4,"Austria",2,1,311,1,54
"5137",7,1954,3,2,4,"Sweden",1,1,830,1,62
"43772",5,1979,5,2,5,"Austria",3,2,134,1,37
"41801",2,1956,3,3,4,"Austria",3,2,411,1,60
"5484",3,1976,5,3,8,"Sweden",4,1,210,1,40
"5726",8,1971,4,2,4,"Sweden",3,2,240,1,45
"4826",5,1969,2,4,4,"Austria",1,2,222,4,47
"5340",0,1955,1,2,4,"Sweden",3,2,510,4,61
"4119",4,1971,4,3,8,"Austria",2,2,325,1,45
"48561",5,1989,2,3,4,"Austria",1,1,722,1,27
