"","caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"12","20120101120154","Pennsylvania",54,"Male","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$7,500 to $9,999",1,0,"No","Has difficulty",16,0,0,0,0,722,122,0,0,0,0,0,0,0,0,115,460,420,40,0,122,0,0,292
"13","20120101120156","Iowa",24,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",20,"Less than $5,000",1,0,"No","No difficulty",24,0,0,0,60,283,5,0,0,0,30,0,353,0,0,55,630,600,30,0,5,0,0,0
"14","20120101120173","New York",32,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$75,000 to $99,999",3,1,"Yes","No difficulty",175,0,0,0,0,15,150,0,30,0,110,0,250,0,76,234,400,360,40,0,150,0,0,0
"15","20120101120187","Illinois",32,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$7,500 to $9,999",3,1,"Yes","No difficulty",111,0,0,0,0,105,80,0,5,0,35,0,535,0,45,114,410,330,80,0,80,0,0,0
"16","20120101120506","Connecticut",29,"Female","Foreign born, not US citizen","Separated","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",22,"$10,000 to $12,499",3,2,"Yes","No difficulty",50,0,0,0,0,75,40,0,0,0,30,0,300,0,156,285,495,480,15,0,40,0,0,0
"17","20120101120508","New Jersey",39,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",60,"$150,000 and over",4,2,"Yes","No difficulty",40,0,0,0,0,120,60,0,0,0,0,0,570,0,185,30,375,360,15,0,60,0,0,0
"18","20120101120513","Vermont",78,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",20,"$60,000 to $74,999",3,0,"No","No difficulty",0,0,0,0,0,235,100,0,0,0,0,0,0,0,0,565,510,510,0,0,100,0,0,0
"19","20120101120519","Nebraska",47,"Male","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$30,000 to $34,999",1,0,"No","No difficulty",0,0,0,0,0,610,50,0,0,0,0,0,0,0,0,135,645,600,45,0,50,0,0,0
"20","20120101120547","Texas",78,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$40,000 to $49,999",2,0,"No","Has difficulty",0,0,0,0,0,735,30,0,0,0,0,0,0,0,0,0,675,630,45,0,30,0,0,0
"21","20120101120568","Kentucky",56,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","Yes","Private, for profit","No answer","Full time",45,"$150,000 and over",2,0,"No","No difficulty",20,0,180,0,0,390,40,0,0,0,90,0,0,0,0,60,660,660,0,0,40,0,0,240
"22","20120101120570","Utah",41,"Female","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Government, state","No answer","Full time",40,"$60,000 to $74,999",4,1,"Yes","No difficulty",0,0,0,0,0,540,90,0,0,0,0,0,0,0,0,0,810,750,60,0,90,0,0,0
"23","20120101120588","California",38,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Government, federal","No answer","Full time",45,"$60,000 to $74,999",5,3,"Yes","No difficulty",210,0,0,75,0,275,40,0,0,0,90,0,0,0,20,20,635,595,40,0,40,0,0,120
"24","20120101120589","Florida",20,"Male","Native, Born in USA","Never married","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"$12,500 to $14,999",7,2,"Yes","Has difficulty",30,0,0,120,0,590,10,0,0,0,0,30,0,0,0,0,660,630,30,0,10,0,30,0
"25","20120101120601","Texas",49,"Female","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Government, federal","No answer","Full time",60,"$150,000 and over",1,0,"No","No difficulty",45,0,0,0,0,20,30,0,0,0,0,0,810,0,0,45,490,480,10,0,30,0,0,0
"26","20120101120604","Texas",18,"Female","Foreign born, not US citizen","Never married","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"$12,500 to $14,999",8,5,"Yes","No difficulty",0,0,0,0,0,225,90,0,0,0,0,0,0,0,0,345,780,780,0,0,90,0,0,0
"27","20120101120617","Florida",26,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$25,000 to $29,999",1,0,"No","No difficulty",105,0,0,0,0,585,40,0,0,0,105,0,0,0,0,35,570,490,80,0,40,0,0,495
"28","20120101120621","New Jersey",76,"Male","Native, Born in Territory","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$7,500 to $9,999",1,0,"No","No difficulty",155,0,0,0,180,205,70,0,0,0,0,0,0,0,0,0,830,795,35,0,70,0,0,100
"29","20120101120629","Ohio",33,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$100,000 to $149,999",5,3,"Yes","No difficulty",0,0,0,0,0,260,10,0,0,0,0,0,30,0,90,80,970,410,0,560,10,0,0,0
"30","20120101120630","Michigan",35,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, nonprofit","No answer","Part time",10,"$15,000 to $19,999",4,2,"Yes","No difficulty",30,0,0,0,0,0,0,0,0,0,0,685,0,0,0,285,440,405,35,0,0,685,0,0
"31","20120101120631","Kansas",68,"Female","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",24,"$20,000 to $24,999",1,0,"No","No difficulty",25,0,0,0,0,430,22,0,0,0,5,0,716,0,0,13,229,207,22,0,22,0,0,0
"32","20120101120638","Wisconsin",67,"Female","Native, Born in USA","Never married","Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$12,500 to $14,999",1,0,"No","Has difficulty",60,0,0,0,0,225,80,0,0,0,0,189,0,0,0,315,451,420,30,1,80,70,119,0
"33","20120101120640","Wisconsin",63,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",2,0,"No","No difficulty",145,0,0,0,0,120,45,0,0,0,180,0,420,0,0,0,530,470,60,0,45,0,0,0
"34","20120101120664","Oklahoma",36,"Male","Native, Born in USA","Married","Veteran","No","Employed","No","Private, for profit","No answer","Part time",12,"$100,000 to $149,999",3,1,"Yes","No difficulty",80,0,0,0,0,575,68,0,0,0,15,0,0,0,7,60,630,570,60,0,68,0,0,170
"35","20120101120674","Mississippi",58,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","Yes","Private, for profit","No answer","Full time",42,"$50,000 to $59,999",2,0,"No","No difficulty",85,0,230,0,0,268,135,0,0,0,0,0,0,0,0,152,570,540,30,0,135,0,0,268
"36","20120101120699","Connecticut",35,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$50,000 to $59,999",4,2,"Yes","No difficulty",0,0,0,0,0,540,150,0,0,0,0,0,0,0,0,0,750,750,0,0,150,0,0,0
"37","20120101120719","Indiana",36,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",50,"$75,000 to $99,999",5,2,"Yes","No difficulty",50,0,0,0,30,100,90,0,0,0,0,0,660,0,30,0,480,420,60,0,90,0,0,90
"38","20120101120737","Washington",77,"Male","Native, Born in USA","Married","Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$30,000 to $34,999",2,0,"No","No difficulty",50,0,0,0,180,490,45,0,0,0,0,0,0,0,0,150,525,465,60,0,45,0,0,45
"39","20120101120747","Louisiana",61,"Female","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Government, federal","No answer","Full time",40,"$60,000 to $74,999",1,0,"No","No difficulty",70,0,0,0,0,150,70,0,0,0,35,0,240,0,0,10,865,755,110,0,70,0,0,150
"40","20120101120750","Florida",77,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$12,500 to $14,999",1,0,"No","No difficulty",60,0,0,360,0,465,90,0,0,0,0,0,0,0,0,45,420,420,0,0,90,0,0,0
"41","20120101120752","New Jersey",34,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",50,"$100,000 to $149,999",3,1,"Yes","No difficulty",65,0,0,0,0,425,95,0,0,0,80,0,0,0,175,140,460,390,70,0,95,0,0,0
"42","20120101120757","California",29,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",50,"$100,000 to $149,999",2,0,"No","No difficulty",118,2,0,0,75,295,135,0,10,0,40,0,0,0,0,180,585,565,20,0,135,0,0,0
"43","20120101120774","Colorado",65,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$75,000 to $99,999",1,0,"No","No difficulty",160,10,0,0,0,100,40,0,0,0,120,0,150,3,0,300,557,437,115,5,40,0,0,0
"44","20120101120780","Virginia",55,"Male","Native, Born in USA","Never married","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"$15,000 to $19,999",2,0,"No","No difficulty",0,0,0,0,0,425,55,0,0,0,0,0,0,0,0,330,630,630,0,0,55,0,0,0
"45","20120101120788","Oregon",85,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$10,000 to $12,499",1,0,"No","Has difficulty",43,15,0,0,45,485,50,0,0,0,45,0,0,0,0,197,560,560,0,0,50,0,0,90
"46","20120101120794","Kentucky",70,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$60,000 to $74,999",2,0,"No","No difficulty",85,0,0,0,90,312,255,0,0,5,58,0,0,0,0,20,615,585,30,0,255,0,0,0
"47","20120101120819","South Carolina",25,"Male","Native, Born in USA","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$50,000 to $59,999",3,0,"No","Has difficulty",0,0,0,0,0,630,30,0,0,0,0,0,0,0,0,0,780,748,30,2,30,0,0,45
"48","20120101120822","West Virginia",64,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$75,000 to $99,999",3,0,"No","No difficulty",135,0,0,45,195,422,75,0,0,0,0,0,0,0,0,0,530,480,50,0,75,0,0,0
"49","20120101120827","Maryland",75,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Full time",45,"$100,000 to $149,999",3,1,"Yes","Has difficulty",345,0,0,0,0,10,30,0,0,0,35,0,220,0,5,230,485,450,35,0,30,0,0,0
"50","20120101120836","Florida",18,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",15,"$100,000 to $149,999",2,0,"No","No difficulty",30,0,0,0,0,290,30,0,0,0,10,300,0,0,0,0,780,735,45,0,30,0,300,0
"51","20120101120839","Washington",16,"Female","Native, Born in USA","Never married","No answer","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"Less than $5,000",6,5,"Yes","No difficulty",10,0,0,0,0,445,120,0,0,0,0,0,0,0,40,210,615,605,10,0,120,0,0,445
"52","20120101120845","Maryland",67,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$20,000 to $24,999",1,0,"No","No difficulty",60,0,0,0,0,590,180,0,0,0,0,0,0,0,0,0,610,600,10,0,180,0,0,300
"53","20120101120846","Pennsylvania",44,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Full time",55,"$35,000 to $39,999",4,2,"Yes","No difficulty",37,0,0,0,0,40,65,0,0,0,0,0,698,0,0,100,500,480,20,0,65,0,0,0
"54","20120101120848","Texas",43,"Male","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$100,000 to $149,999",4,0,"No","No difficulty",105,0,0,85,0,230,55,0,0,0,0,0,5,270,0,105,560,560,0,0,55,0,0,0
"55","20120101120864","Iowa",60,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, incorporated","No answer","Full time",47,"$150,000 and over",2,0,"No","Has difficulty",190,0,0,0,0,110,140,0,0,0,0,0,560,0,0,10,430,390,40,0,140,0,0,0
"56","20120101120873","Massachusetts",36,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",35,"$60,000 to $74,999",3,1,"Yes","No difficulty",102,0,60,0,30,98,47,0,0,0,5,0,420,0,18,70,590,540,50,0,47,0,0,0
"57","20120101120874","Nevada",21,"Male","Native, Born in USA","Never married","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"$30,000 to $34,999",6,1,"Yes","No difficulty",50,0,0,0,0,740,70,0,0,0,10,0,0,60,0,30,480,450,30,0,70,0,0,10
"58","20120101120876","Louisiana",44,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, incorporated","No answer","Full time",50,"$75,000 to $99,999",4,2,"Yes","No difficulty",24,0,0,0,0,351,95,0,0,0,0,0,350,0,2,0,618,598,20,0,95,0,0,0
"59","20120101120880","Florida",59,"Male","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",15,"$60,000 to $74,999",1,0,"No","No difficulty",110,0,0,0,0,340,55,0,0,10,25,0,280,0,0,65,555,480,75,0,55,0,0,0
"60","20120101120881","Ohio",64,"Male","Native, Born in USA","Widowed","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",60,"$50,000 to $59,999",1,0,"No","Has difficulty",60,0,0,0,0,30,15,0,0,0,30,0,670,0,0,30,605,545,60,0,15,0,0,0
"61","20120101120889","Kansas",69,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$12,500 to $14,999",2,0,"No","Has difficulty",0,0,0,0,0,480,120,0,0,0,0,0,0,0,0,0,840,840,0,0,120,0,0,0
"62","20120101120903","Illinois",65,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Part time",9995,"$25,000 to $29,999",1,0,"No","No difficulty",80,10,0,0,40,710,34,0,0,0,30,0,0,0,0,61,475,450,25,0,34,0,0,0
"63","20120101120907","Minnesota",37,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",43,"$100,000 to $149,999",2,0,"No","No difficulty",155,0,0,50,60,235,200,0,75,0,0,0,0,0,0,110,510,405,105,0,200,0,0,180
"64","20120101120910","Ohio",45,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",9995,"$35,000 to $39,999",3,0,"No","Has difficulty",30,0,60,0,0,260,60,0,0,0,0,0,0,180,0,0,850,820,30,0,60,0,0,60
"65","20120101120932","New York",43,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Part time",30,"$60,000 to $74,999",5,3,"Yes","No difficulty",107,0,0,0,0,90,45,0,0,280,105,30,0,0,3,45,735,670,65,0,45,0,30,82
"66","20120101120935","Pennsylvania",47,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$75,000 to $99,999",2,0,"No","No difficulty",134,0,0,0,0,240,90,0,0,0,15,0,540,0,0,10,411,381,30,0,90,0,0,0
"67","20120101120939","North Carolina",59,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$150,000 and over",2,0,"No","No difficulty",155,45,0,0,0,640,60,0,0,0,0,0,0,0,0,0,390,390,0,0,60,0,0,0
"68","20120101120940","Michigan",61,"Male","Native, Born in USA","Separated","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$20,000 to $24,999",3,2,"Yes","No difficulty",70,0,0,0,120,120,121,0,0,0,0,0,0,0,122,407,480,480,0,0,121,0,0,0
"69","20120101120949","Colorado",41,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$20,000 to $24,999",4,2,"Yes","No difficulty",109,0,0,0,0,90,30,0,0,0,10,0,686,0,5,0,510,480,30,0,30,0,0,0
"70","20120101120961","New York",36,"Male","Foreign born, not US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",5,0,"No","No difficulty",145,0,0,0,0,115,85,0,0,60,105,0,450,0,0,0,480,390,90,0,85,0,0,0
"71","20120101120966","Wisconsin",37,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$100,000 to $149,999",5,3,"Yes","No difficulty",95,0,0,0,0,0,55,0,0,0,0,0,465,0,215,35,575,525,50,0,55,0,0,0
"72","20120101120985","Michigan",64,"Male","Native, Born in USA","Married","Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$75,000 to $99,999",2,0,"No","No difficulty",97,0,5,120,0,163,105,0,0,0,50,0,1,45,0,220,634,585,39,10,105,0,0,45
"73","20120101120986","Kentucky",38,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$60,000 to $74,999",4,2,"Yes","No difficulty",74,0,0,0,0,195,59,0,0,0,3,0,684,0,30,0,395,365,30,0,59,0,0,145
"74","20120101121010","New Jersey",51,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",5,2,"Yes","No difficulty",80,0,0,0,15,320,10,0,0,0,0,0,564,0,1,0,450,450,0,0,10,0,0,0
"75","20120101121012","California",42,"Female","Native, born abroad","Married","Non-Veteran","No","Employed","No","Private, nonprofit","No answer","Full time",40,"$150,000 and over",5,3,"Yes","No difficulty",137,0,0,83,0,60,75,0,0,0,25,0,0,0,325,140,595,540,55,0,75,0,0,0
"76","20120101121018","Kentucky",76,"Female","Native, Born in USA","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$25,000 to $29,999",1,0,"No","No difficulty",96,0,227,196,0,140,103,0,0,0,0,0,0,0,0,10,652,605,47,0,103,0,0,20
"77","20120101121021","North Dakota",44,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",9995,"$30,000 to $34,999",8,2,"Yes","No difficulty",90,0,0,0,75,515,30,0,0,0,5,0,0,0,6,179,540,480,60,0,30,0,0,100
"78","20120101121038","New York",79,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Not retired","No answer",9999,"$25,000 to $29,999",1,0,"No","No difficulty",145,0,0,105,0,245,135,0,0,0,0,0,0,0,0,210,600,600,0,0,135,0,0,0
"79","20120101121040","Florida",54,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$60,000 to $74,999",2,0,"No","No difficulty",71,0,0,0,0,165,65,0,0,0,30,0,545,0,0,59,505,420,85,0,65,0,0,0
"80","20120101121043","New York",62,"Male","Native, Born in USA","Separated","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$40,000 to $49,999",1,0,"No","No difficulty",175,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,495,390,105,0,0,0,0,0
"81","20120101121052","Nevada",64,"Male","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$20,000 to $24,999",1,0,"No","Has difficulty",0,0,0,0,0,660,30,0,0,0,0,0,0,0,0,60,690,690,0,0,30,0,0,60
"82","20120101121067","California",51,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$35,000 to $39,999",2,0,"No","Has difficulty",0,30,0,0,0,405,190,0,0,0,0,0,0,0,0,275,420,420,0,0,190,0,0,0
"83","20120101121071","New York",32,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Government, federal","No answer","Full time",40,"$35,000 to $39,999",2,1,"Yes","No difficulty",10,20,120,0,0,45,90,0,0,0,15,0,0,0,100,310,730,640,90,0,90,0,0,0
"84","20120101121074","California",47,"Male","Native, Born in USA","Divored","Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"$40,000 to $49,999",3,0,"No","No difficulty",47,0,0,153,0,525,60,0,0,0,0,0,0,55,0,115,460,420,40,0,60,0,0,0
"85","20120101121080","Illinois",32,"Female","Foreign born, not US citizen","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",28,"$25,000 to $29,999",4,2,"Yes","No difficulty",157,0,0,0,120,60,5,0,0,0,0,0,321,0,64,140,573,554,19,0,5,0,0,0
"86","20120101121081","California",37,"Male","Foreign born, not US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$15,000 to $19,999",4,2,"Yes","No difficulty",74,0,0,0,0,81,110,0,0,0,0,0,620,0,65,145,345,314,31,0,110,0,0,61
"87","20120101121085","Arkansas",27,"Female","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$20,000 to $24,999",3,2,"Yes","No difficulty",120,0,0,0,0,60,15,0,0,0,75,0,0,0,20,375,740,710,30,0,15,0,0,0
"88","20120101121101","Connecticut",55,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$75,000 to $99,999",4,0,"No","No difficulty",110,10,0,0,0,145,60,0,0,60,5,0,525,0,0,30,455,455,0,0,60,0,0,0
"89","20120101121115","Washington",29,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$60,000 to $74,999",5,3,"Yes","No difficulty",90,0,0,15,0,100,50,0,0,70,0,0,580,0,16,0,519,484,35,0,50,0,0,100
"90","20120101121117","Washington",25,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$60,000 to $74,999",3,1,"Yes","No difficulty",120,30,0,0,0,0,80,0,0,0,0,0,570,0,90,60,490,400,90,0,80,0,0,0
"91","20120101121124","North Carolina",72,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$20,000 to $24,999",1,0,"No","No difficulty",0,140,0,0,0,185,50,0,0,0,0,0,0,0,0,225,840,585,0,255,50,0,0,0
"92","20120101121130","Michigan",55,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",50,"$75,000 to $99,999",3,0,"No","No difficulty",60,0,0,0,0,360,60,0,0,0,0,0,510,0,0,90,360,330,30,0,60,0,0,0
"93","20120101121138","Tennessee",39,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",60,"$100,000 to $149,999",3,1,"Yes","No difficulty",65,0,0,0,0,0,105,0,0,30,40,0,0,0,30,705,465,450,15,0,105,0,0,0
"94","20120101121145","Tennessee",52,"Male","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$5,000 to $7,499",1,0,"No","Has difficulty",60,0,0,0,0,1350,15,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0
"95","20120101121148","Kansas",36,"Male","Native, Born in USA","Married","Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",5,2,"Yes","No difficulty",60,0,0,0,0,240,105,0,0,0,100,0,0,0,0,210,725,680,45,0,45,0,0,0
"96","20120101121158","New York",80,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",9999,"$25,000 to $29,999",1,0,"No","No difficulty",20,0,0,120,60,563,15,0,0,0,0,0,0,0,0,17,645,630,15,0,15,0,0,0
